work_year,job_category,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Engineering,95012,Mid-level,Full-time,Hybrid,Germany,L
2023,Data Architecture and Modeling,186000,Senior,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,81800,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,212000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,93300,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,130000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,100000,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,224400,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,138700,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,210000,Executive,Full-time,Remote,United States,M
2023,Data Engineering,168000,Executive,Full-time,Remote,United States,M
2023,Machine Learning and AI,224400,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,138700,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,43064,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Science and Research,36912,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,95000,Entry-level,Full-time,In-person,United States,M
2023,Data Analysis,75000,Entry-level,Full-time,In-person,United States,M
2023,Data Science and Research,300000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,234000,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,140000,Mid-level,Full-time,In-person,United States,M
2023,Leadership and Management,120000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,204500,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,142200,Mid-level,Full-time,In-person,United States,M
2023,Data Analysis,155000,Mid-level,Full-time,In-person,United States,M
2023,Data Analysis,110000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,266500,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,152000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,222200,Mid-level,Full-time,In-person,United States,L
2023,Data Science and Research,136000,Mid-level,Full-time,In-person,United States,L
2023,Machine Learning and AI,273400,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,182200,Senior,Full-time,In-person,United States,M
2023,BI and Visualization,167500,Senior,Full-time,In-person,United States,M
2023,BI and Visualization,106500,Senior,Full-time,In-person,United States,M
2023,Data Engineering,185900,Senior,Full-time,In-person,United States,M
2023,Data Engineering,129300,Senior,Full-time,In-person,United States,M
2023,BI and Visualization,185000,Mid-level,Full-time,In-person,United States,L
2023,BI and Visualization,79600,Mid-level,Full-time,In-person,United States,L
2023,Data Engineering,122000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,94500,Senior,Full-time,In-person,United States,M
2023,Data Engineering,247300,Senior,Full-time,In-person,United States,M
2023,Data Engineering,139700,Senior,Full-time,In-person,United States,M
2023,Data Analysis,176000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,100000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,204500,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,142200,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,247600,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,127300,Senior,Full-time,In-person,United States,L
2023,Data Science and Research,223400,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,186200,Senior,Full-time,Remote,United States,M
2023,Data Engineering,167500,Senior,Full-time,In-person,United States,M
2023,Data Engineering,106500,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,185900,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,129300,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,72000,Entry-level,Full-time,Remote,United States,M
2023,Data Science and Research,64000,Entry-level,Full-time,Remote,United States,M
2023,Leadership and Management,179820,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,143860,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,283050,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,188700,Senior,Full-time,In-person,United States,M
2023,Data Engineering,133000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,58400,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,141298,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,115607,Senior,Full-time,In-person,United States,M
2023,Data Analysis,100000,Entry-level,Full-time,In-person,United States,M
2023,Data Analysis,75000,Entry-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,266500,Senior,Full-time,In-person,Canada,M
2023,Machine Learning and AI,144400,Senior,Full-time,In-person,Canada,M
2023,Data Engineering,71363,Senior,Full-time,In-person,United Kingdom,M
2023,Data Engineering,55368,Senior,Full-time,In-person,United Kingdom,M
2023,Data Science and Research,287500,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,156000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,90000,Mid-level,Full-time,Remote,United States,M
2023,Data Analysis,70000,Mid-level,Full-time,Remote,United States,M
